81, n017-init, 1191269684389617807/9007199254740992
69, n004-init, 595809078502328729/4503599627370496
46, n002-init, 596922048514733821/4503599627370496
48, n004-init, 1195991971885437931/9007199254740992
44, initial, 74752573883271111/562949953421312
45, n002-init, 1196379073110089313/9007199254740992
47, n002-end, 299192816307837775/2251799813685248
94, n004-init, 598610888906256251/4503599627370496
49, n004-init, 599071656121956873/4503599627370496
89, n028-init, 599071656121956873/4503599627370496
43, initial, 74961006672267555/562949953421312
74, n009-init, 1200457545698338363/9007199254740992
60, final, 1200784661627693373/9007199254740992
42, initial, 9385738066224725/70368744177664
74, n009-end, 1201987143228928735/9007199254740992
45, n002-end, 1202035325528036025/9007199254740992
81, n017-end, 1203744673372406135/9007199254740992
46, n002-end, 602051485507689677/4503599627370496
44, n002-init, 602539389826735213/4503599627370496
61, final, 1205509955657349253/9007199254740992
53, final, 37722513414683043/281474976710656
74, n021-init, 1209304159414509009/9007199254740992
42, n002-init, 604885093144947071/4503599627370496
41, initial, 75615081595845279/562949953421312
74, n020-init, 605313025908539449/4503599627370496
43, n002-init, 151341611203774393/1125899906842624
59, n004-end, 606163289935036401/4503599627370496
81, n009-init, 1212765358167354557/9007199254740992
44, n002-end, 1213768146112885113/9007199254740992
47, n004-init, 9486952534791023/70368744177664
40, initial, 75981821153891679/562949953421312
41, n002-init, 1217243579641902283/9007199254740992
42, n002-end, 1217598827043163357/9007199254740992
45, n004-init, 1218263213351958855/9007199254740992
43, n002-end, 19041634694237355/140737488355328
46, n004-init, 305730336567562235/2251799813685248
81, n020-init, 1222999923883668877/9007199254740992
40, n002-init, 612066652658571035/4503599627370496
44, n004-init, 1228412389537363651/9007199254740992
41, n002-end, 1229669431742239391/9007199254740992
74, n020-end, 615636980013925975/4503599627370496
59, final, 616668757138374789/4503599627370496
39, initial, 77138370661079795/562949953421312
81, n020-end, 1235312879099137005/9007199254740992
42, n004-init, 1236193980294289085/9007199254740992
38, initial, 38650827593992485/281474976710656
40, n002-end, 309337791540528713/2251799813685248
56, n004-end, 1239432283228872735/9007199254740992
43, n004-init, 620340750545722685/4503599627370496
70, n004-end, 620664449388087743/4503599627370496
39, n002-init, 620860394488618355/4503599627370496
38, n002-init, 155798438270059875/1125899906842624
54, n004-end, 38956608373639933/281474976710656
39, n002-end, 1247800131538967111/9007199254740992
81, n009-end, 1250003773062161933/9007199254740992
41, n004-init, 1250811020808698375/9007199254740992
40, n004-init, 1252650774669063845/9007199254740992
86, n011-end, 1253822952702536523/9007199254740992
37, initial, 39185253214967795/281474976710656
38, n002-end, 157073853689675133/1125899906842624
70, final, 1259924113693460999/9007199254740992
39, n004-init, 315470936330550251/2251799813685248
37, n002-init, 631285771247877461/4503599627370496
56, n004-init, 1267192949659178861/9007199254740992
54, n004-init, 1269239337646469471/9007199254740992
86, final, 1272772707792400765/9007199254740992
37, n002-end, 159159377247448279/1125899906842624
38, n004-init, 318719699117866097/2251799813685248
69, n004-end, 637937776036584665/4503599627370496
36, initial, 19983961944139763/140737488355328
58, n004-end, 1253354736268301/8796093022208
71, n004-end, 1284002168347413539/9007199254740992
41, n004-end, 1286536545428755215/9007199254740992
36, n002-init, 1287274847992793613/9007199254740992
77, n028-init, 644381422279185339/4503599627370496
94, n004-end, 644381422279185339/4503599627370496
37, n004-init, 1289649404400548595/9007199254740992
63, n004-end, 1293884226746833249/9007199254740992
44, n004-end, 1296684618016494139/9007199254740992
36, n002-end, 1299040027209385697/9007199254740992
35, initial, 10160956738737419/70368744177664
58, n007-init, 1301472636245276065/9007199254740992
69, n004-init, 650880301292649987/4503599627370496
41, final, 162779408132402275/1125899906842624
